Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Property_price_(per_month)
2 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,2,2,2,62 m²,R 10 800
5 Bedroom House,Pritoria,Eastwood,5,3,3,68 m²,R 40 000
House,Pritoria,Montana Park,1,1,3,123 m²,R 16 500
1 Bedroom Apartment,Pritoria,La Montagne,2,1,1,390 m²,R 6 800
2 Bedroom Apartment,Pritoria,Equestria,4,1,1,123 m²,R 12 000
4 Bedroom Townhouse,Pritoria,Lynnwood Manor,2,2,2,140 m²,R 50 000
2 Bedroom Apartment,Pritoria,Equestria,1,1,1,140 m²,R 12 000
1 Bedroom House,Pritoria,Magalieskruin,3,1,2,139 m²,R 6 800
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,163 m²,R 19 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,58 m²,R 19 000
3 Bedroom Townhouse,Pritoria,Olympus AH,2,2.5,2,250 m²,R 19 000
2 Bedroom House,Pritoria,Rietvalleirand,4,2,1,40 m²,R 14 000
4 Bedroom House,Pritoria,Savannah Country Estate,14,5,6,,R 25 000
14 Bedroom House,Pritoria,Arcadia,4,12,6,,R 5 900
4 Bedroom Townhouse,Pritoria,Tijger Vallei,3,2,3,,R 14 500
3 Bedroom House,Pritoria,Montana,4,2.5,4,,R 17 300
4 Bedroom Townhouse,Pritoria,Brooklyn,1,3,4,,R 40 000
1 Bedroom Apartment,Pritoria,Willow Park Manor,3,1,1,,R 12 000
3 Bedroom Apartment,Pritoria,Annlin,3,2,2,,R 11 206
3 Bedroom Townhouse,Pritoria,Baileys Muckleneuk,1,3.5,3,,R 26 750
1 Bedroom Apartment,Pritoria,Philip Nel Park,,1,1,,R 5 700
2 Bedroom Apartment,Pritoria,Eloffsdal,2,1,1,83 m²,R 6 200
2 Bedroom Apartment,Pritoria,Annlin,2,1,1,99 m²,R 6 700
2 Bedroom Townhouse,Pritoria,Montana,2,1,1,74 m²,R 6 500
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,69 m²,R 16 000
1 Bedroom Apartment,Pritoria,Wonderboom South,1,1,1,85 m²,R 5 150
3 Bedroom House,Pritoria,Montana Park,3,2,3,143 m²,R 25 000
3 Bedroom House,Pritoria,Annlin,3,2,2,140 m²,R 9 320
0.5 Bedroom Apartment,Pritoria,Hatfield,0.5,1,1,99 m²,R 7 300
2 Bedroom Apartment,Pritoria,Montana,2,2,1,,R 7 680
2 Bedroom Apartment,Pritoria,Sunnyside,2,1,1,,R 6 000
1 Bedroom Townhouse,Pritoria,Lynnwood,1,1,2,,R 12 000
3 Bedroom House,Pritoria,Waterkloof,3,2,6,,R 28 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,2,,R 4 950
1 Bedroom House,Pritoria,Menlyn,1,1,1,,R 4 300
3 Bedroom Townhouse,Pritoria,Lynnwood,3,2,2,,R 15 900
2 Bedroom Apartment,Pritoria,Annlin-Wes,2,2,2,,R 7 400
3 Bedroom Townhouse,Pritoria,Equestria,3,2,3,,R 15 800
1 Bedroom Apartment,Pritoria,Pretoria Central,1,1,2,,R 5 500
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,,R 19 000
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,,R 16 000
2 Bedroom Townhouse,Pritoria,Moreleta Park,2,1,1,,R 10 800
2 Bedroom Apartment,Pritoria,Olympus AH,2,2,2,85 m²,R 9 900
Apartment,Pritoria,Pretoriuspark,2,2,1,56 m²,R 8 000
2 Bedroom Apartment,Pritoria,Hatfield,3,2,3,72 m²,R 10 000
3 Bedroom House,Pritoria,Lotus Gardens,6,7,1,250 m²,R 6 000
6 Bedroom House,Pritoria,Savannah Country Estate,3,2,3,72 m²,R 39 000
3 Bedroom Townhouse,Pritoria,Annlin,3,2,4,57 m²,R 12 000
3 Bedroom House,Pritoria,Waterkloof Ridge,3,2.5,1,246 m²,R 28 000
3 Bedroom House,Pritoria,Montana,2,2,1,,R 17 300
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,,R 10 000
2 Bedroom Apartment,Pritoria,Silverton,0.5,1,2,,R 6 000
0.5 Bedroom Apartment,Pritoria,Arcadia,3,1,2,,R 2 600
3 Bedroom House,Pritoria,Mountain View,2,1,1,,R 9 050
2 Bedroom House,Pritoria,Lotus Gardens,3,2,1,,R 6 500
3 Bedroom House,Pritoria,Mountain View,3,2,1,,R 18 000
3 Bedroom Townhouse,Pritoria,Monument Park,2,1,1,,R 22 000
2 Bedroom Apartment,Pritoria,Montana,2,1,1,,R 7 400
2 Bedroom Apartment,Pritoria,Philip Nel Park,1,1,,,R 6 970
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,,,R 8 000
1 Bedroom Apartment,Pritoria,Silverton,1,1,,,R 6 400
House,Pritoria,Pretoria North,,1,,,R 4 150
1 Bedroom House,Pritoria,Waterkloof Ridge,,,,,R 6 000
5 Bedroom House,Pritoria,Waterkloof,5,4,4,100 m²,R 45 000
1 Bedroom Apartment,Pritoria,Annlin,1,1,1,63 m²,R 6 150
1 Bedroom Apartment,Pritoria,Annlin,1,1,1,64 m²,R 6 150
5 Bedroom House,Pritoria,Waterkloof,5,6,9,,R 100 000
0.5 Bedroom Apartment,Pritoria,Hillcrest,0.5,1,1,,R 5 900
2 Bedroom Apartment,Pritoria,Erasmusrand,2,2,2,,R 9 500
2 Bedroom Apartment,Pritoria,Six Fountains,2,2.5,2,,R 15 400
3 Bedroom House,Pritoria,Waterkloof Boulevard Estate,3,2,2,,R 37 500
1 Bedroom Apartment,Pritoria,Pretoria Central,1,1,1,,R 5 650
1 Bedroom Apartment,Pritoria,Pretoria Central,1,1,2,,R 5 250
1 Bedroom Apartment,Pritoria,Pretoria Central,1,1,2,,R 5 150
1 Bedroom Apartment,Pritoria,Montana,1,1,5,,R 7 800
3 Bedroom House,Pritoria,Garsfontein,3,2.5,2,,R 26 000
3 Bedroom House,Pritoria,Montana,3,1,1,,R 12 500
3 Bedroom House,Pritoria,Montana Park,3,2,3,,R 11 500
1 Bedroom Apartment,Pritoria,Mooikloof,1,1,1,,R 8 500
2 Bedroom House,Pritoria,Gezina,2,1,1,,R 9 950
2 Bedroom Apartment,Pritoria,Kilner Park,2,1,1,,R 7 700
1 Bedroom House,Pritoria,Brooklyn,1,1,,,R 4 000
3 Bedroom House,Pritoria,Philip Nel Park,3,1,,,R 7 990
2 Bedroom Apartment,Pritoria,Roodepark Eco Estate,2,1,,,R 8 500
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,2,140 m²,R 19 000
2 Bedroom House,Pritoria,Lynnwood Glen,2,2,2,7 m²,R 25 000
2 Bedroom Apartment,Pritoria,Montana,2,2,1,50 m²,R 8 000
3 Bedroom House,Pritoria,Zwavelpoort AH,3,2.5,4,50 m²,R 23 000
3 Bedroom Townhouse,Pritoria,Wapadrand,3,2,3,75 m²,R 12 000
3 Bedroom Apartment,Pritoria,Doornpoort,3,2,2,55 m²,R 9 350
3 Bedroom House,Pritoria,Waterkloof,3,3.5,5,,R 48 000
1 Bedroom Apartment,Pritoria,Waterkloof Marina Retirement Estate,1,1,1,,R 9 639
3 Bedroom Apartment,Pritoria,Sinoville,3,1,1,,R 6 900
3 Bedroom Townhouse,Pritoria,Brooklyn,3,3,1,,R 30 000
5 Bedroom House,Pritoria,Philip Nel Park,5,1,2,,R 15 000
2 Bedroom Apartment,Pritoria,Booysens,2,1,1,,R 7 000
1 Bedroom Apartment,Pritoria,Waterkloof Marina Retirement Estate,1,1,1,,R 9 639
2 Bedroom Apartment,Pritoria,Montana,2,1,1,,R 9 600
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,,R 13 500
3 Bedroom Apartment,Pritoria,Sinoville,3,2,2,,R 7 250
2 Bedroom Townhouse,Pritoria,Rietfontein,2,1,2,,R 6 300
2 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,2,2,2,,R 13 500
2 Bedroom Apartment,Pritoria,Montana,2,2,2,,R 9 400
2 Bedroom Apartment,Pritoria,Montana,2,2,,,R 8 900
2 Bedroom Apartment,Pritoria,Montana,2,1,,,R 7 900
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,99 m²,R 16 000
4 Bedroom Townhouse,Pritoria,Kameeldrift East,4,2,2,119 m²,R 12 900
3 Bedroom Townhouse,Pritoria,Montana,3,2.5,2,100 m²,R 11 850
3 Bedroom Apartment,Pritoria,Baileys Muckleneuk,3,2,2,51 m²,R 28 650
2 Bedroom Townhouse,Pritoria,Muckleneuk,2,1,2,40 m²,R 18 000
2 Bedroom Apartment,Pritoria,Montana Tuine,2,1,1,300 m²,R 7 100
1 Bedroom Apartment,Pritoria,Hatfield,1,4,1,74 m²,R 7 000
4 Bedroom Townhouse,Pritoria,Waterkloof Ridge,4,2,4,51 m²,R 30 000
3 Bedroom Townhouse,Pritoria,Montana,3,3,1,33 m²,R 8 000
4 Bedroom House,Pritoria,Silver Stream Estate,4,2,4,107 m²,R 30 000
3 Bedroom House,Pritoria,East Lynne,3,2.5,2,65 m²,R 10 990
3 Bedroom Townhouse,Pritoria,Woodhill Golf Estate,3,2,2,,R 25 000
3 Bedroom Apartment,Pritoria,Annlin,3,1,2,,R 11 206
1 Bedroom Apartment,Pritoria,Pretoria Central,1,1,2,,R 5 400
1 Bedroom Apartment,Pritoria,Pretoria Central,1,4,2,,R 5 400
5 Bedroom House,Pritoria,Roodeplaat,5,1,7,,R 30 000
2 Bedroom Townhouse,Pritoria,Pretoria North,2,1,1,,R 7 150
2 Bedroom Apartment,Pritoria,Montana,2,1,1,,R 7 100
1 Bedroom Apartment,Pritoria,Savannah Country Estate,1,2,1,,R 11 100
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,2,,R 15 500
2 Bedroom Apartment,Pritoria,Mooikloof Glen,2,,2,,R 11 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2.5,2,105 m²,R 14 000
1 Bedroom House,Pritoria,Montana Tuine,1,1,1,69 m²,R 11 632
2 Bedroom Apartment,Pritoria,Sinoville,2,2,2,88 m²,R 10 600
3 Bedroom House,Pritoria,Lynnwood Glen,3,2,2,71 m²,R 21 500
4 Bedroom Townhouse,Pritoria,Moreleta Park,4,2.5,6,140 m²,R 16 000
Apartment,Pritoria,Pretoriuspark,2,2,2,56 m²,R 8 750
2 Bedroom Apartment,Pritoria,Rietvalleirand,3,2,2,180 m²,R 8 000
3 Bedroom House,Pritoria,Wapadrand,3,2,4,63 m²,R 30 000
3 Bedroom House,Pritoria,Montana,1,1,1,70 m²,R 18 730
1 Bedroom Apartment,Pritoria,Doornpoort,2,1,2,37 m²,R 4 075
2 Bedroom Townhouse,Pritoria,Moreleta Park,3,2,2,,R 10 700
3 Bedroom Townhouse,Pritoria,Hazeldean,3,2.5,2,,R 9 980
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,4,,R 19 000
3 Bedroom House,Pritoria,Montana,2,1,4,,R 18 730
2 Bedroom Apartment,Pritoria,Waverley,3,3,1,,R 9 500
3 Bedroom Townhouse,Pritoria,Menlo Park,2,1,2,,R 25 000
2 Bedroom Apartment,Pritoria,Montana Park,2,2,2,,R 6 900
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,,R 15 000
1 Bedroom Apartment,Pritoria,Pretoria Central,1,1,,,R 5 450
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,,1,,,R 11 000
Apartment,Pritoria,Pretoria North,,,,,R 4 600
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,2,99 m²,R 16 000
5 Bedroom House,Pritoria,Montana Park,5,4,4,68 m²,R 30 000
1 Bedroom Apartment,Pritoria,Newlands,1,1,1,166 m²,R 8 700
2 Bedroom Townhouse,Pritoria,Montana Tuine,2,1,1,47 m²,R 6 750
2 Bedroom Townhouse,Pritoria,Garsfontein,2,1,1,30 m²,R 8 600
2 Bedroom Apartment,Pritoria,Gezina,2,1,1,75 m²,R 5 550
3 Bedroom Townhouse,Pritoria,Woodhill Golf Estate,3,2,2,70 m²,R 27 000
2 Bedroom Apartment,Pritoria,Wonderboom South,2,1,1,47 m²,R 5 575
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,71 m²,R 10 000
1 Bedroom Apartment,Pritoria,Menlo Park,1,1,1,148 m²,R 5 000
2 Bedroom Apartment,Pritoria,Proclamation Hill,2,1,2,105 m²,R 6 600
2 Bedroom Apartment,Pritoria,Rietvalleirand,2,2,1,,R 8 400
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,2,,R 10 000
2 Bedroom Apartment,Pritoria,Annlin,2,2,2,,R 11 206
2 Bedroom Townhouse,Pritoria,Montana,2,2,1,,R 10 000
1 Bedroom Apartment,Pritoria,Montana,1,1,2,,R 6 050
3 Bedroom Townhouse,Pritoria,Wonderboom,3,2,1,,R 10 400
2 Bedroom Apartment,Pritoria,Sinoville,2,1,2,,R 7 600
2 Bedroom Apartment,Pritoria,Moregloed,2,2,2,,R 11 000
3 Bedroom Apartment,Pritoria,Waterkloof,3,2,,,R 17 000
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,,,R 15 500
3 Bedroom House,Pritoria,Moreleta Park,3,2.5,2,67 m²,R 19 500
0.5 Bedroom Apartment,Pritoria,Hatfield,0.5,1,1,60 m²,R 6 500
2 Bedroom Apartment,Pritoria,Hatfield,2,2,2,37 m²,R 10 500
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,34 m²,R 10 600
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,2,229 m²,R 7 900
0.5 Bedroom Apartment,Pritoria,Hatfield,0.5,1,1,74 m²,R 6 050
4 Bedroom Townhouse,Pritoria,Roodeplaat,4,4,2,130 m²,R 12 900
3 Bedroom Townhouse,Pritoria,Moreleta Park,3,2,1,101 m²,R 12 000
2 Bedroom Apartment,Pritoria,Arcadia,2,1,2,30 m²,R 6 910
3 Bedroom House,Pritoria,Equestria,3,3,2,92 m²,R 27 500
3 Bedroom Apartment,Pritoria,Groenkloof,3,2,2,67 m²,R 24 000
3 Bedroom Townhouse,Pritoria,Garsfontein,3,2,1,,R 12 000
2 Bedroom Apartment,Pritoria,Mooikloof,2,1,4,,R 7 350
3 Bedroom Townhouse,Pritoria,The Wilds,3,2,2,,R 24 000
10 Bedroom House,Pritoria,Waterkloof Ridge,10,8,2,,R 56 000
Apartment,Pritoria,Nieuw Muckleneuk,3,2,1,,R 10 000
3 Bedroom House,Pritoria,Wapadrand,2,2.5,2,,R 12 200
2 Bedroom Apartment,Pritoria,Menlo Park,1,1,2,,R 14 000
1 Bedroom Apartment,Pritoria,Menlo Park,2,2,,,R 6 100
2 Bedroom Apartment,Pritoria,Menlyn,2,2,,,R 20 500
2 Bedroom Apartment,Pritoria,Hatfield,,,,,R 10 500
3 Bedroom Apartment,Pritoria,Silver Lakes,3,2,2,1 m²,R 22 000
2 Bedroom Apartment,Pritoria,Die Wilgers,2,2,1,105 m²,R 7 500
2 Bedroom Apartment,Pritoria,Andeon,2,1,2,90 m²,R 8 000
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,2,64 m²,R 20 000
3 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,3,2,1,90 m²,R 10 500
1 Bedroom Apartment,Pritoria,Doornpoort,1,1,2,105 m²,R 5 075
3 Bedroom House,Pritoria,Lindo Park,3,1.5,1,27 m²,R 10 000
1 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,1,1,2,75 m²,R 6 750
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,118 m²,R 15 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,,R 14 000
2 Bedroom House,Pritoria,Lotus Gardens,2,1,2,,R 6 500
3 Bedroom Apartment,Pritoria,Sinoville,3,1,2,,R 7 250
1 Bedroom Apartment,Pritoria,Pretoria West,1,1,2,,R 5 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,2,,R 16 500
2 Bedroom Townhouse,Pritoria,Silver Lakes,2,2,1,,R 9 800
4 Bedroom House,Pritoria,Boardwalk Meander,4,3,5,,R 48 000
1 Bedroom Apartment,Pritoria,Willow Park Manor,1,1,1,,R 6 500
3 Bedroom Apartment,Pritoria,Hatfield,3,3,,,R 13 500
2 Bedroom Apartment,Pritoria,Die Wilgers,2,2,,,R 7 500
3 Bedroom Apartment,Pritoria,Magalieskruin,3,2,,,R 9 500
2 Bedroom Townhouse,Pritoria,Pretoria North,2,1.5,,,R 7 200
2 Bedroom Apartment,Pritoria,Montana,2,1,1,60 m²,R 10 100
1 Bedroom Apartment,Pritoria,Murrayfield,1,1,2,63 m²,R 7 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,55 m²,R 7 300
3 Bedroom Townhouse,Pritoria,Montana,3,2,2,63 m²,R 15 610
3 Bedroom Townhouse,Pritoria,Country View Estate,3,2.5,2,45 m²,R 18 500
3 Bedroom Townhouse,Pritoria,Tyger Valley,3,2,2,129 m²,R 13 500
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,2.5,6,120 m²,R 35 000
House,Pritoria,Lynnwood Park,3,1,1,,R 6 950
3 Bedroom House,Pritoria,Mooikloof,2,2,1,,R 15 500
2 Bedroom Apartment,Pritoria,Mooikloof Glen,1,2,2,,R 9 000
1 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 8 600
2 Bedroom Apartment,Pritoria,Mooikloof Glen,2,2,2,,R 9 000
2 Bedroom House,Pritoria,Lotus Gardens,4,1,1,,R 5 500
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,1,4,4,,R 68 000
1 Bedroom Apartment,Pritoria,Silver Lakes,1,1,1,,R 6 500
1 Bedroom House,Pritoria,Menlyn,3,1,2,,R 17 000
3 Bedroom House,Pritoria,Waterkloof Park,3,3,4,,R 27 000
3 Bedroom House,Pritoria,Six Fountains,3,2,2,,R 38 000
3 Bedroom Apartment,Pritoria,Silver Lakes,2,2,1,,R 9 500
2 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,4,2,1,,R 25 000
4 Bedroom House,Pritoria,Willow Acres,,3,3,,R 30 000
3 Bedroom Apartment,Pritoria,Equestria,3,1,2,83 m²,R 8 900
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,2,138 m²,R 18 500
Apartment,Pritoria,Hatfield,3,2,2,116 m²,R 3 500
3 Bedroom House,Pritoria,Doornpoort,2,2,12,155 m²,R 12 600
2 Bedroom Apartment,Pritoria,Hatfield,3,3.5,1,47 m²,R 10 200
House,Pritoria,Waverley,3,2,2,55 m²,R 30 000
3 Bedroom House,Pritoria,Waterkloof Ridge,2,2,1,55 m²,R 38 000
3 Bedroom Townhouse,Pritoria,Pretoria North,1,1,2,,R 6 800
2 Bedroom Townhouse,Pritoria,Menlo Park,3,2.5,1,,R 19 500
1 Bedroom Townhouse,Pritoria,Hatfield,1,1,2,,R 5 985
3 Bedroom Townhouse,Pritoria,Florauna,2,1,2,,R 11 200
1 Bedroom Townhouse,Pritoria,Hatfield,3,2,1,,R 5 985
2 Bedroom House,Pritoria,Villieria,1,1,6,,R 8 000
3 Bedroom House,Pritoria,Florauna,3,1,1,,R 11 900
1 Bedroom Apartment,Pritoria,Menlo Park,1,1,1,,R 10 250
3 Bedroom Apartment,Pritoria,Sunnyside,1,1,,,R 6 600
1 Bedroom Apartment,Pritoria,Hatfield,3,3.5,,,R 7 200
1 Bedroom Apartment,Pritoria,Garsfontein,2,2,,,R 9 500
3 Bedroom House,Pritoria,Silver Stream Estate,1,1,,,R 26 000
2 Bedroom Apartment,Pritoria,Montana,,,,,R 10 500
1 Bedroom Apartment,Pritoria,Silver Lakes Golf Estate,,,,,R 9 550
2 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,2,1,2,58 m²,R 8 500
1 Bedroom Apartment,Pritoria,Pretoria Central,1,1,2,60 m²,R 8 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,2,83 m²,R 10 200
2 Bedroom Apartment,Pritoria,Mooikloof Ridge,2,1,2,86 m²,R 8 500
Apartment,Pritoria,Arcadia,1.5,1,1,54 m²,R 4 000
1.5 Bedroom Townhouse,Pritoria,Pretoria North,2,1.5,2,40 m²,R 6 200
2 Bedroom Apartment,Pritoria,Menlo Park,2,2.5,1,86 m²,R 23 000
2 Bedroom Townhouse,Pritoria,Equestria,3,1,3,101 m²,R 8 100
3 Bedroom House,Pritoria,Muckleneuk,2,2,1,102 m²,R 16 000
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,2,64 m²,R 13 000
3 Bedroom House,Pritoria,Rietfontein,2,1.5,1,64 m²,R 11 500
2 Bedroom Apartment,Pritoria,Olympus AH,1,1,1,,R 8 000
1 Bedroom Apartment,Pritoria,Hatfield,2,1,2,,R 7 980
2 Bedroom Apartment,Pritoria,Menlo Park,4,2.5,2,,R 23 000
4 Bedroom House,Pritoria,Willow Acres,3,3.5,2,,R 29 870
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,2,,R 18 000
3 Bedroom House,Pritoria,Kameeldrift East,2,1,2,,R 8 900
2 Bedroom Apartment,Pritoria,Montana,2,1,1,,R 8 400
2 Bedroom House,Pritoria,Olympus AH,2,2,1,,R 15 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,,R 12 000
2 Bedroom Apartment,Pritoria,Brooklyn,,2,,,R 14 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,64 m²,R 12 000
3 Bedroom House,Pritoria,Hazelwood,3,3,2,64 m²,R 50 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,41 m²,R 12 000
1 Bedroom Apartment,Pritoria,Waterkloof Ridge,1,1,1,46 m²,R 9 250
2 Bedroom Apartment,Pritoria,Montana Tuine,2,1,1,1 m²,R 7 750
2 Bedroom Apartment,Pritoria,Andeon,2,1,2,46 m²,R 7 030
4 Bedroom House,Pritoria,Silver Stream Estate,4,6,1,250 m²,R 34 000
2 Bedroom Apartment,Pritoria,Hatfield,2,1,3,179 m²,R 3 800
3 Bedroom Townhouse,Pritoria,Baileys Muckleneuk,3,3.5,5,1 m²,R 26 750
3 Bedroom Townhouse,Pritoria,Faerie Glen,3,2,1,70 m²,R 18 500
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,2,100 m²,R 5 900
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,4,104 m²,R 16 500
1 Bedroom Apartment,Pritoria,Andeon,1,1,1,67 m²,R 5 650
4 Bedroom Townhouse,Pritoria,Silver Lakes Golf Estate,4,3.5,2,,R 43 000
1.5 Bedroom Apartment,Pritoria,Sunnyside,1.5,1,1,,R 5 800
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,2,,R 20 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,,R 7 600
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,,R 16 500
1 Bedroom Apartment,Pritoria,Hillcrest,1,1,1,,R 7 900
4 Bedroom House,Pritoria,Zambezi Manor Lifestyle Estate,4,3,,,R 23 000
2 Bedroom Apartment,Pritoria,Hatfield,2,2,,,R 10 500
1 Bedroom Apartment,Pritoria,Lynnwood Manor,1,1,1,30 m²,R 9 000
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,2,74 m²,R 7 350
2 Bedroom Townhouse,Pritoria,Pretoriuspark,2,2,2,99 m²,R 9 900
2 Bedroom Townhouse,Pritoria,Olympus AH,2,2,6,9 m²,R 15 500
4 Bedroom House,Pritoria,Boschkop AH,4,3.5,2,37 m²,R 35 000
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,1,141 m²,R 12 000
2 Bedroom House,Pritoria,Mahube Valley,2,1,3,65 m²,R 4 600
4 Bedroom House,Pritoria,Waterkloof Ridge,4,3,2,24 m²,R 70 000
3 Bedroom House,Pritoria,Philip Nel Park,3,1,1,,R 6 500
Apartment,Pritoria,Sunnyside,1,1,1,,R 3 203
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,1,1,,R 11 000
2 Bedroom Apartment,Pritoria,La Montagne,2,1,2,,R 8 000
2 Bedroom House,Pritoria,Waverley,1,1,1,,R 11 300
1 Bedroom Apartment,Pritoria,Arcadia,2,1,1,,R 6 300
2 Bedroom Apartment,Pritoria,Sunnyside,3,1,2,,R 6 700
3 Bedroom Apartment,Pritoria,Erasmus Park,1,2,1,,R 16 500
1 Bedroom Apartment,Pritoria,Constantia Park,3,1,1,,R 6 500
3 Bedroom Townhouse,Pritoria,Lynnwood Glen,1,2,1,,R 20 000
1 Bedroom Apartment,Pritoria,Garsfontein,1,1,1,,R 10 500
1 Bedroom Apartment,Pritoria,Waverley,2,1,1,,R 8 200
2 Bedroom Apartment,Pritoria,La Montagne,,1,,,R 8 000
1 Bedroom Apartment,Pritoria,Daspoort Estate,1,1,1,40 m²,R 3 600
3 Bedroom Townhouse,Pritoria,Equestria,3,2,4,110 m²,R 15 500
0.5 Bedroom Apartment,Pritoria,Pretoria Central,0.5,1,1,58 m²,R 3 010
3 Bedroom House,Pritoria,Buffelsdrift AH,3,2,2,127 m²,R 12 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,83 m²,R 10 000
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,2,4,51 m²,R 35 000
2 Bedroom Apartment,Pritoria,East Lynne,2,1,1,,R 7 500
4 Bedroom House,Pritoria,Waterkloof,4,4.5,6,,R 56 000
1 Bedroom Apartment,Pritoria,Buffelsdrift AH,1,1,1,,R 9 000
3 Bedroom House,Pritoria,Buffelsdrift AH,3,2,2,,R 12 500
2 Bedroom Apartment,Pritoria,Waverley,2,1,1,,R 9 500
3 Bedroom House,Pritoria,Zambezi Manor Lifestyle Estate,3,2,1,,R 14 200
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,2,,R 8 900
1 Bedroom Apartment,Pritoria,Moreleta Park,1,1,2,,R 8 500
3 Bedroom Townhouse,Pritoria,Equestria,3,2,2,,R 15 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2.5,1,,R 14 500
2 Bedroom Apartment,Pritoria,Silver Lakes Golf Estate,2,2,1,,R 28 000
0.5 Bedroom Apartment,Pritoria,Wonderboom South,0.5,1,2,,R 4 100
1 Bedroom Apartment,Pritoria,Brooklyn,1,1,,,R 7 900
1 Bedroom Apartment,Pritoria,The Hills Game Reserve Estate,1,1,,,R 8 000
4 Bedroom House,Pritoria,Queenswood,4,1.5,,,R 15 500
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,101 m²,R 7 350
2 Bedroom Apartment,Pritoria,Paramount Estate,2,2,1,120 m²,R 8 800
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,2,83 m²,R 13 000
4 Bedroom House,Pritoria,Moreleta Park,4,3,2,40 m²,R 24 000
4 Bedroom House,Pritoria,Faerie Glen,4,3,4,46 m²,R 20 000
4 Bedroom House,Pritoria,Moreleta Park,4,3,2,126 m²,R 24 000
3 Bedroom House,Pritoria,Silver Lakes,3,2,4,74 m²,R 27 000
2 Bedroom Townhouse,Pritoria,Die Wilgers,2,1,1,4 m²,R 11 900
2 Bedroom Apartment,Pritoria,Mooikloof Ridge,2,1,1,37 m²,R 8 500
1 Bedroom Apartment,Pritoria,Willow Park Manor,1,1,1,110 m²,R 8 200
2 Bedroom Apartment,Pritoria,Roodeplaat,2,1,1,,R 7 750
4 Bedroom House,Pritoria,Erasmusrand,4,3,2,,R 23 000
3 Bedroom Apartment,Pritoria,Sinoville,3,1,2,,R 7 250
