Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Property_price_(per_month)
0.5 Bedroom Apartment,Pritoria,Rietfontein,0.5,1,3,1 m²,R 4 150
3 Bedroom Apartment,Pritoria,Montana,0.5,1,,1 m²,R 12 000
2 Bedroom Townhouse,Pritoria,Equestria,3,2,,100 m²,R 10 000
3 Bedroom Townhouse,Pritoria,Olympus AH,2,1,,92 m²,R 25 000
1 Bedroom House,Pritoria,Capital Park,1,1,1,25 m²,R 2 780
2 Bedroom Apartment,Pritoria,Elarduspark,2,1,1,87 m²,R 8 600
2 Bedroom Apartment,Pritoria,Rietvalleirand,2,2,2,137 m²,R 11 500
2 Bedroom Apartment,Pritoria,Waverley,2,2,3,63 m²,R 10 250
3 Bedroom Townhouse,Pritoria,Silverton,3,3,1,63 m²,R 13 500
2 Bedroom Apartment,Pritoria,Waverley,2,2,1,74 m²,R 10 250
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,4,58 m²,R 11 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,50 m²,R 12 000
3 Bedroom House,Pritoria,Annlin,3,1.5,1,75 m²,R 11 000
1 Bedroom House,Pritoria,Montana Tuine,1,1,3,105 m²,R 8 340
2 Bedroom House,Pritoria,Montana Tuine,2,1,4,1 m²,R 13 500
4 Bedroom House,Pritoria,Newmark Estate,4,3.5,2,63 m²,R 35 000
5 Bedroom House,Pritoria,Montana,5,2.5,2,87 m²,R 23 000
2 Bedroom House,Pritoria,Montana Tuine,2,2,1,50 m²,R 16 700
3 Bedroom Townhouse,Pritoria,Lynnwood,3,2,1,50 m²,R 26 000
2 Bedroom Apartment,Pritoria,Magaliesmoot AH,2,2,1,32 m²,R 10 250
2 Bedroom Apartment,Pritoria,Magaliesmoot AH,2,1,1,,R 9 750
2 Bedroom Apartment,Pritoria,Elarduspark,2,1,,,R 8 600
1 Bedroom Apartment,Pritoria,Lynnwood,1,1,,,R 8 950
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,,,R 7 600
1 Bedroom Apartment,Pritoria,Sunnyside,1,1,,,R 5 553
2 Bedroom Apartment,Pritoria,Waverley,2,1,2,56 m²,R 9 500
2 Bedroom Townhouse,Pritoria,Equestria,2,1,1,45 m²,R 11 500
1 Bedroom House,Pritoria,Montana Tuine,1,1,2,65 m²,R 8 040
2 Bedroom Apartment,Pritoria,Mooikloof Glen,2,2,2,90 m²,R 8 800
2 Bedroom Apartment,Pritoria,Montana Park,2,2,1,76 m²,R 8 600
2 Bedroom Apartment,Pritoria,Lynnwood,2,1,1,121 m²,R 22 000
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,63 m²,R 9 200
1 Bedroom House,Pritoria,Menlo Park,1,2,1,76 m²,R 27 000
1 Bedroom House,Pritoria,Constantia Park,1,1,2,56 m²,R 5 000
2 Bedroom Apartment,Pritoria,Waverley,2,2,1,63 m²,R 10 250
2 Bedroom Apartment,Pritoria,Pretoriuspark,2,2,1,63 m²,R 10 000
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,63 m²,R 9 400
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,107 m²,R 11 500
2 Bedroom Apartment,Pritoria,Waverley,2,2,2,75 m²,R 11 000
2 Bedroom Townhouse,Pritoria,Pretoria North,2,2,4,121 m²,R 10 250
2 Bedroom Apartment,Pritoria,Waverley,2,2,,,R 11 000
3 Bedroom House,Pritoria,Danville,3,2,,,R 8 000
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,,,R 11 500
3 Bedroom House,Pritoria,Roodeplaat,3,2.5,,,R 16 500
3 Bedroom Apartment,Pritoria,Montana,3,2,,,R 12 000
3 Bedroom Townhouse,Pritoria,Equestria,3,2,,,R 14 000
2 Bedroom Apartment,Pritoria,Equestria,2,1,1,81 m²,R 8 600
6 Bedroom House,Pritoria,Queenswood,6,3,14,63 m²,R 3 500
2 Bedroom Apartment,Pritoria,Waverley,2,2,3,70 m²,R 10 250
2 Bedroom Apartment,Pritoria,Montana,2,2,1,201 m²,R 10 200
3 Bedroom Townhouse,Pritoria,Boardwalk Meander,3,2,2,42 m²,R 20 000
1 Bedroom Apartment,Pritoria,Menlyn,1,1,7,58 m²,R 30 000
2 Bedroom Apartment,Pritoria,Waverley,2,1,2,126 m²,R 9 750
3 Bedroom Townhouse,Pritoria,Moreleta Park,3,2,58,55 m²,R 15 000
8 Bedroom House,Pritoria,Arcadia,8,3,4,64 m²,R 41 040
3 Bedroom Townhouse,Pritoria,Derdepoort,3,2,4,90 m²,R 17 000
58 Bedroom Apartment,Pritoria,Waterkloof,58,58,1,72 m²,R 15 990
3 Bedroom Townhouse,Pritoria,Magalieskruin,3,2,1,55 m²,R 12 500
4 Bedroom House,Pritoria,Doornpoort,4,3,2,72 m²,R 20 000
2 Bedroom Apartment,Pritoria,Erasmus Park,2,1,2,60 m²,R 10 900
2 Bedroom Apartment,Pritoria,Montana,2,2,58,94 m²,R 10 500
3 Bedroom Apartment,Pritoria,Annlin,3,2,1,,R 11 206
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,1,,R 12 000
58 Bedroom Apartment,Pritoria,Waterkloof,58,58,2,,R 15 990
2 Bedroom Apartment,Pritoria,Monument Park,2,1,,,R 9 646
2 Bedroom Apartment,Pritoria,La Montagne,2,1,,,R 7 500
2 Bedroom Apartment,Pritoria,Menlyn,2,2,,,R 56 500
2 Bedroom Apartment,Pritoria,Waterkloof,2,2,2,94 m²,R 10 000
3 Bedroom House,Pritoria,Villieria,3,2,3,43 m²,R 14 000
2 Bedroom Apartment,Pritoria,Menlyn,2,2,2,74 m²,R 55 700
0.5 Bedroom Apartment,Pritoria,Hatfield,0.5,2,1,56 m²,R 3 900
2 Bedroom Townhouse,Pritoria,Faerie Glen,2,2,1,68 m²,R 13 500
3 Bedroom Townhouse,Pritoria,Faerie Glen,3,1,3,55 m²,R 14 275
2 Bedroom Apartment,Pritoria,Rietfontein,2,1,1,46 m²,R 6 400
2 Bedroom Apartment,Pritoria,Olympus AH,2,1,2,70 m²,R 7 800
2 Bedroom Apartment,Pritoria,Montana,2,1,1,57 m²,R 8 400
2 Bedroom Apartment,Pritoria,Rietfontein,2,1,2,100 m²,R 6 400
2 Bedroom Apartment,Pritoria,Pretoria North,2,2,1,115 m²,R 5 500
3 Bedroom Townhouse,Pritoria,Montana,3,1,6,,R 18 000
2 Bedroom Apartment,Pritoria,West Park,2,2,2,,R 7 350
4 Bedroom House,Pritoria,Capital Park,4,2,12,,R 19 440
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,4.5,2,,R 10 500
6 Bedroom House,Pritoria,Waterkloof Ridge,6,2,2,,R 90 000
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,,R 10 500
1 Bedroom Apartment,Pritoria,Wonderboom South,1,2,4,,R 13 000
3 Bedroom Apartment,Pritoria,Mooikloof,3,2,,,R 16 000
2 Bedroom Apartment,Pritoria,Hazelwood,2,1.5,,,R 17 800
3 Bedroom House,Pritoria,Annlin,3,,,,R 11 000
2 Bedroom Apartment,Pritoria,The Hills Game Reserve Estate,2,2,2,73 m²,R 10 500
3 Bedroom Townhouse,Pritoria,Moreleta Park,3,1.5,2,120 m²,R 11 500
5 Bedroom House,Pritoria,Elarduspark,5,3,3,63 m²,R 19 900
2 Bedroom Apartment,Pritoria,Waverley,2,2,3,101 m²,R 10 250
3 Bedroom House,Pritoria,Constantia Park,3,1,4,178 m²,R 12 500
2 Bedroom Apartment,Pritoria,Menlo Park,2,2.5,2,112 m²,R 14 000
